n1, 1.5, n2, 1, n1 / n2, 1.5
Critical Angle (rad), 0.729728 , 0
Brewster Angle (rad), 0.588003 , 0
angle (rad), r_{TE}, t_{TE}, r_{TM}, t_{TM}
0.73042 , 1 , 1.99876 , 1 , 2.99062
0.738274 , 1 , 1.98464 , 1 , 2.88853
0.746128 , 1 , 1.97039 , 1 , 2.79354
0.753982 , 1 , 1.95603 , 1 , 2.70482
0.761836 , 1 , 1.94154 , 1 , 2.62167
0.76969 , 1 , 1.92694 , 1 , 2.54347
0.777544 , 1 , 1.91221 , 1 , 2.46973
0.785398 , 1 , 1.89737 , 1 , 2.4
0.793252 , 1 , 1.88241 , 1 , 2.3339
0.801106 , 1 , 1.86733 , 1 , 2.27109
0.80896 , 1 , 1.85214 , 1 , 2.21129
0.816814 , 1 , 1.83683 , 1 , 2.15423
0.824668 , 1 , 1.82141 , 1 , 2.0997
0.832522 , 1 , 1.80588 , 1 , 2.04748
0.840376 , 1 , 1.79024 , 1 , 1.99741
0.84823 , 1 , 1.77449 , 1 , 1.94932
0.856084 , 1 , 1.75862 , 1 , 1.90306
0.863938 , 1 , 1.74265 , 1 , 1.85851
0.871792 , 1 , 1.72657 , 1 , 1.81555
0.879646 , 1 , 1.71039 , 1 , 1.77407
0.8875 , 1 , 1.6941 , 1 , 1.73398
0.895354 , 1 , 1.6777 , 1 , 1.69518
0.903208 , 1 , 1.6612 , 1 , 1.6576
0.911062 , 1 , 1.6446 , 1 , 1.62117
0.918916 , 1 , 1.6279 , 1 , 1.58581
0.92677 , 1 , 1.6111 , 1 , 1.55146
0.934624 , 1 , 1.59419 , 1 , 1.51806
0.942478 , 1 , 1.57719 , 1 , 1.48557
0.950332 , 1 , 1.5601 , 1 , 1.45393
0.958186 , 1 , 1.5429 , 1 , 1.4231
0.96604 , 1 , 1.52561 , 1 , 1.39304
0.973894 , 1 , 1.50823 , 1 , 1.3637
0.981748 , 1 , 1.49075 , 1 , 1.33505
0.989602 , 1 , 1.47318 , 1 , 1.30705
0.997456 , 1 , 1.45552 , 1 , 1.27968
1.00531 , 1 , 1.43777 , 1 , 1.2529
1.01316 , 1 , 1.41994 , 1 , 1.22668
1.02102 , 1 , 1.40201 , 1 , 1.20101
1.02887 , 1 , 1.384 , 1 , 1.17585
1.03673 , 1 , 1.3659 , 1 , 1.15117
1.04458 , 1 , 1.34772 , 1 , 1.12697
1.05243 , 1 , 1.32946 , 1 , 1.10322
1.06029 , 1 , 1.31111 , 1 , 1.07989
1.06814 , 1 , 1.29268 , 1 , 1.05698
1.076 , 1 , 1.27417 , 1 , 1.03446
1.08385 , 1 , 1.25559 , 1 , 1.01231
1.0917 , 1 , 1.23692 , 1 , 0.990528
1.09956 , 1 , 1.21818 , 1 , 0.969089
1.10741 , 1 , 1.19937 , 1 , 0.947983
1.11527 , 1 , 1.18048 , 1 , 0.927195
1.12312 , 1 , 1.16152 , 1 , 0.906712
1.13097 , 1 , 1.14249 , 1 , 0.886524
1.13883 , 1 , 1.12338 , 1 , 0.866617
1.14668 , 1 , 1.10421 , 1 , 0.846981
1.15454 , 1 , 1.08497 , 1 , 0.827606
1.16239 , 1 , 1.06566 , 1 , 0.808481
1.17024 , 1 , 1.04629 , 1 , 0.789597
1.1781 , 1 , 1.02685 , 1 , 0.770945
1.18595 , 1 , 1.00735 , 1 , 0.752515
